Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Land Area(Km2),Latitude,Longitude
Hungary,100.0,100.0,,,14.275,12.918000000000001,16.046,4.144,60.964755600000004,27427.369599999998,3.725,45867.5003075,4.5181724,2.3396780712000003,15374.969598,93028.0,47.162494,19.503304
Iceland,100.0,100.0,,,80.5275,0.0,0.0,18.868000000000002,100.0,177913.992,12.325,1659.9999965,80.7263972,2.2643454834,67335.904346,103000.0,64.963051,-19.020835
India,94.6702032,59.760000000000005,85.046,1381172500.0,32.795,1221.324,40.826,265.12800000000004,19.9546582,6442.634,4.4225,2355972.47325,8.2031468,3.6748954674000003,1947.7191266000002,3287263.0,20.593684,78.96288
Indonesia,98.014,78.27000000000001,36.734,478785000.0,23.6325,232.464,,46.416,16.6097432,7774.6011,3.185,549165.00855,7.1773415,3.6451525680000003,3859.8087788,1904569.0,-0.789275,113.92132699999999
Iraq,99.8736748,98.74,62.936,186765000.0,0.6074999999999999,80.672,0.0,3.686,4.31569264,14432.346,5.025,158754.99725000001,1.55960226,0.9771416746,5115.690445,438317.0,33.223191,43.679291
Ireland,100.0,100.0,,,10.4525,20.524,0.0,10.372,33.472381999999996,37843.618,1.4825,37502.49958,15.320946999999999,6.1592777772,75528.80106599999,84421.0,53.41291,-8.24389
Israel,100.0,100.0,,,4.015,66.94800000000001,0.0,2.418,3.45784382,34237.0152,2.66,63580.0018325,2.46365684,2.8886768322000003,41657.607182,20770.0,31.046051,34.851612
Italy,100.0,100.0,,,16.7175,175.66,0.0,111.80799999999999,38.9262956,30041.465600000003,2.5075,326162.49845,17.709528799999998,-0.9282362984000001,32645.501178,301340.0,41.87194,12.56738
Jamaica,98.44046,83.9,76.912,22295000.0,10.005,3.528,0.0,0.616,14.861276,13012.0932,4.215,7947.4999905,,-0.9690877078,5061.574361,10991.0,18.109581,-77.297508
Japan,100.0,100.0,,,7.055,774.292,39.236000000000004,182.954,22.334784000000003,40709.48760000001,3.455,1130184.99725,9.33068712,-0.26543877260000004,39814.171065999995,377944.0,36.204824,138.252924
Jordan,99.9517648,99.9,113.35799999999999,276977500.0,6.325,16.976,0.0,2.394,12.240251099999998,11157.7852,3.8775,25094.99979,,1.2838937986,4280.655778,89342.0,30.585164,36.238414
Kazakhstan,100.0,92.92,201.89,181507500.0,1.9175,92.516,,11.512,11.104755800000001,41725.8476,6.305,211360.0006,3.8409165,2.26,9141.9757568,2724900.0,48.019573,66.923684
Kenya,62.299784599999995,16.119999999999997,37.468,347272500.0,70.69749999999999,1.47,0.0,9.506,86.4308128,1960.39536,5.4375,19465.0001525,,3.6646149668,1748.8092305999999,580367.0,-0.023559,37.906193
